Date,Call Vol,WeekNum,Digital,Print,Total,Avg7,Avg14,Avg21,Digital,Other,ALL INV,Dig7,Dig14,Dig21,,,,,,,,,,,Product Type,digital,print,TOTAL,,,,donation,Epoch_TV,magazine,other
1/12/21,633,3,13356,42652,56008,#REF!,#REF!,#REF!,8075,10927,19002,,,#REF!,,,,,,,,,2,January,4,12335,43062,55397,,,,248,3,,403
1/13/21,541,3,13356,42652,56008,#REF!,#REF!,#REF!,6525,8867,15392,,,#REF!,,,,,,,,,3,January,11,13356,42652,56008,,,,540,4,,403
1/14/21,550,3,13356,42652,56008,#REF!,#REF!,#REF!,5666,8741,14407,,,#REF!,,,,,,,,,4,January,18,12777,40734,53511,,,,251,6,1,417
1/15/21,491,3,13356,42652,56008,#REF!,#REF!,#REF!,5618,8729,14347,,,#REF!,,,,,,,,,5,January,25,14623,39195,53818,,,,289,7,,559
1/16/21,191,3,13356,42652,56008,#REF!,#REF!,#REF!,6596,7669,14265,,,#REF!,,,,,,,,,6,February,1,24662,41695,66357,,,,883,3,,1102
1/17/21,0,4,12777,40734,53511,401,426.7692308,#REF!,6315,8635,14950,6465.833333,5609.692308,#REF!,,,,,,,,,7,February,8,21428,48861,70289,,,,642,4,1,806
1/18/21,599,4,12777,40734,53511,429.2857143,455.9285714,#REF!,5292,9875,15167,6298.142857,5513.714286,#REF!,,,,,,,,,8,February,15,20174,39848,60022,,,,500,8,1,574
1/19/21,546,4,12777,40734,53511,416.8571429,455.1428571,#REF!,4933,7472,12405,5849.285714,5396.428571,#REF!,,,,,,,,,9,February,22,28529,51009,79538,,,,457,20,1,923
1/20/21,654,4,12777,40734,53511,433,451.0714286,#REF!,4952,6750,11702,5624.571429,5215.142857,#REF!,,,,,,,,,10,March,1,27753,43037,70790,,,,1281,18,,740
1/21/21,629,4,12777,40734,53511,444.2857143,445.8571429,433.1,4433,6606,11039,5448.428571,5336.928571,#REF!,,,,,,,,,11,March,8,46269,46350,92619,,,,711,27,2,494
1/22/21,561,4,12777,40734,53511,454.2857143,447.7857143,452.7619048,4838,8293,13131,5337,5309.571429,#REF!,,,,,,,,,12,March,15,40067,52800,92867,,,,533,30,1,454
1/23/21,153,4,12777,40734,53511,448.8571429,446.8571429,452.9047619,4971,7115,12086,5104.857143,5457.142857,#REF!,,,,,,,,,13,March,22,37036,50003,87039,,,,384,29,3,559
1/24/21,0,5,14623,39195,53818,448.8571429,446.8571429,452.5714286,4712,8493,13205,4875.857143,5533.357143,#REF!,,,,,,,,,14,March,29,43027,44582,87609,,,,1165,25,1,561
1/25/21,835,5,14623,39195,53818,482.5714286,464.5,451.6190476,4266,9138,13404,4729.285714,5590.214286,#REF!,,,,,,,,,15,April,5,51526,47352,98878,,,,577,42,,512
1/26/21,622,5,14623,39195,53818,493.4285714,470.9285714,451.2380952,6433,6771,13204,4943.571429,6043.428571,#REF!,,,,,,,,,16,April,12,72908,41417,114325,,,,695,47,2,12018
1/27/21,484,5,14623,39195,53818,469.1428571,462.3571429,449.7619048,3987,6518,10505,4805.714286,6188.785714,#REF!,,,,,,,,,17,April,19,55664,53769,109433,,,,395,63,4,10820
1/28/21,477,5,14623,39195,53818,447.4285714,455.2857143,449.7619048,7371,6656,14027,5225.428571,6237.285714,#REF!,,,,,,,,,18,April,26,72339,57963,130302,,,,1060,74,5,7847
1/29/21,518,5,14623,39195,53818,441.2857143,449.7142857,451.2857143,5235,8361,13596,5282.142857,6240.142857,#REF!,,,,,,,,,19,May,3,64503,53903,118406,,,,619,71,5,9670
1/30/21,178,5,14623,39195,53818,444.8571429,450.2142857,448.7619048,8662,6232,14894,5809.428571,6230.571429,#REF!,,,,,,,,,20,May,10,86590,57708,144298,,,,808,103,11,2428
1/31/21,0,6,24662,41695,66357,444.8571429,450.2142857,440.3809524,7382,7674,15056,6190.857143,6296.357143,#REF!,,,,,,,,,21,May,17,63618,50457,114075,,,,423,220,7,2651
2/1/21,846,6,24662,41695,66357,446.4285714,435.6428571,433.6190476,6088,9937,16025,6451.142857,6338.428571,#REF!,,,,,,,,,22,May,24,78223,46807,125030,,,,400,638,13,3584
